# section_id, course_mnemonic, course_title, instructor, room, days, start_time, end_time
    (19616, "DS 5003", "Healthcare Data Science",                                 "Christian Wernz",            "VIRTUAL",             "Tu",       "07:15 PM", "08:15 PM"),
    (20859, "DS 5007", "Don't Invent The Torment Nexus",                          "Mar Hicks",                  "VIRTUAL",             "Tu",       "08:30 PM", "09:30 PM"),
    (18927, "DS 5012", "Computation for Data Science",                            "Yuri Malitsky",              "VIRTUAL",             "We",       "08:30 PM", "09:30 PM"),
    (21576, "DS 5023", "Interactive Applications",                                "Mai Dahshan",                "SDS 306",             "Tu,Th",    "12:30 PM", "01:45 PM"),
    (18928, "DS 5030", "Understanding Uncertainty",                               "Jeffrey Woo",                "VIRTUAL",             "Tu",       "07:15 PM", "08:15 PM"),
    (21266, "DS 5070", "Deep Learning in Environmental Science",                  "Antonios Mamalakis",         "New Cabell Hall 395", "Tu,Th",    "09:30 AM", "10:45 AM"),
    (19618, "DS 5220", "Advanced Cloud Computing",                                "Neal Magee",                 "SDS 205",             "Mo,We,Fr", "12:00 PM", "12:50 PM"),
    (18929, "DS 6001", "Data Engineering I: Data Pipeline Architecture",          "Jonathan Kropko",            "VIRTUAL",             "Tu",       "08:30 PM", "09:30 PM"),
    (18930, "DS 6002", "Ethics of Big Data I",                                    "Farhana Faruqe",             "SDS 306",             "Tu,Th",    "09:30 AM", "10:45 AM"),
    (18934, "DS 6002", "Ethics of Big Data I",                                    "Farhana Faruqe",             "SDS 306",             "Tu,Th",    "11:00 AM", "12:15 PM"),
    (18935, "DS 6002", "Ethics of Big Data I",                                    "Renee Cummings",             "VIRTUAL",             "Th",       "06:00 PM", "07:00 PM"),
    (18936, "DS 6002", "Ethics of Big Data I",                                    "Renee Cummings",             "VIRTUAL",             "Th",       "06:00 PM", "07:00 PM"),
    (18932, "DS 6015", "Data Science Capstone",                                   "Philip Waggoner",            "VIRTUAL",             "Th",       "07:15 PM", "09:15 PM"),
    (18939, "DS 6015", "Data Science Capstone",                                   "Rafael Alvarado",            "VIRTUAL",                 "Th",       "07:15 PM", "09:15 PM"),
    (18940, "DS 6015", "Data Science Capstone",                                   "Adam Tashman",               "VIRTUAL",                 "Th",       "07:15 PM", "09:15 PM"),
    (18931, "DS 6021", "Machine Learning I: Intro to Predictive Modeling",        "Jeffrey Woo",                "VIRTUAL",                 "We",       "07:15 PM", "08:15 PM"),
    (18933, "DS 6030", "Machine Learning II: Data Mining & Statistical Learning", "Michael Porter",             "SDS 206",                 "Tu,Th",    "09:30 AM", "10:45 AM"),
    (18941, "DS 6030", "Machine Learning II: Data Mining & Statistical Learning", "Michael Porter",             "SDS 206",                 "Tu,Th",    "11:00 AM", "12:15 PM"),
    (15307, "DS 6050", "Machine Learning III: Deep Learning",                     "Tom Hartvigsen",             "SDS 306",                 "Mo,We,Fr", "10:00 AM", "10:50 AM"),
    (18937, "DS 6050", "Machine Learning III: Deep Learning",                     "Tom Hartvigsen",             "SDS 306",                 "Mo,We,Fr", "11:00 AM", "11:50 AM"),
    (18938, "DS 6050", "Machine Learning III: Deep Learning",                     "Heman Shakeri",              "VIRTUAL",                 "We",       "07:15 PM", "08:15 PM"),
    (15266, "DS 6210", "Computation II: Numerical Analysis & Optimization",       "Heman Shakeri",              "SDS 246",                 "Mo,We",    "12:30 PM", "01:45 PM"),
    (15267, "DS 6310", "Theory II: Inference & Prediction",                       "Jordan Bryan; Thomas Stewart","SDS 246",               "Tu,Th",    "09:30 AM", "10:45 AM"),
    (20445, "DS 6404", "Physics-Aware Deep Learning",                             "Stephen Baek",               "SDS 246",                 "Tu,Th",    "11:00 AM", "12:15 PM"),
    (15268, "DS 6410", "Advanced Machine Learning II: Methods & Application",     "Aiying Zhang",               "SDS 246",                 "Mo,We",    "09:30 AM", "10:45 AM"),
    (20793, "DS 6425", "Time Series Modeling",                                    "Don Brown",                  "SDS 246",                 "Mo,We",    "02:00 PM", "03:15 PM"),
    (15265, "DS 6700", "Value I: Data Ethics, Policy and Governance",             "Jess Reia",                  "SDS 246",                 "Mo,We",    "03:30 PM", "04:45 PM"),
    (20099, "DS 7600", "Design I: Human-Centered Design",                         "Nur Yildirim",               "SDS 206",                 "Tu,Th",    "02:00 PM", "03:15 PM"),
    (19622, "DS 8104", "Network Science",                                         "Alex Gates",                 "SDS 246",                 "Tu,Th",    "03:30 PM", "04:45 PM"),
