Section_ID,Course_Mnemonic,Course_Title,Instructor,Room,Days,Start_Time,End_Time
15306,DS 4002,Data Science Project,Karsten Siller,SDS 206,"Mo,We,Fr",1900-01-01 11:00:00,1900-01-01 11:50:00
19619,DS 4023,Data Design II: Interactive Applications,Mai Dahshan,SDS 306,"Tu,Th",1900-01-01 12:30:00,1900-01-01 13:45:00
18924,DS 4024,Value II: Explainable AI,Farhana Faruqe,SDS 306,"Tu,Th",1900-01-01 14:00:00,1900-01-01 15:15:00
18943,DS 4024,Value II: Explainable AI,Chirag Agarwal,SDS 306,"Tu,Th",1900-01-01 15:30:00,1900-01-01 16:45:00
19620,DS 4125,Introduction to Deep Learning,Jianxin Xie,SDS 206,"Mo,We,Fr",1900-01-01 10:00:00,1900-01-01 10:50:00
18925,DS 4320,Data by Design,Loreto Alonzi,SDS 206,"Mo,We",1900-01-01 14:00:00,1900-01-01 15:15:00
18944,DS 4320,Data by Design,Loreto Alonzi,SDS 206,"Mo,We",1900-01-01 15:30:00,1900-01-01 16:45:00
15272,DS 5001,Text as Data,Rafael Alvarado,SDS 205,"Mo,We,Fr",1900-01-01 11:00:00,1900-01-01 11:50:00
19615,DS 5001,Text as Data,Sree Mallikarjun,VIRTUAL,Tu,1900-01-01 18:00:00,1900-01-01 19:00:00
19616,DS 5003,Healthcare Data Science,Christian Wernz,VIRTUAL,Tu,1900-01-01 19:15:00,1900-01-01 20:15:00
20859,DS 5007,Don't Invent The Torment Nexus,Mar Hicks,VIRTUAL,Tu,1900-01-01 20:30:00,1900-01-01 21:30:00
18927,DS 5012,Computation for Data Science,Yuri Malitsky,VIRTUAL,We,1900-01-01 20:30:00,1900-01-01 21:30:00
21576,DS 5023,Interactive Applications,Mai Dahshan,SDS 306,"Tu,Th",1900-01-01 12:30:00,1900-01-01 13:45:00
18928,DS 5030,Understanding Uncertainty,Jeffrey Woo,VIRTUAL,Tu,1900-01-01 19:15:00,1900-01-01 20:15:00
21266,DS 5070,Deep Learning in Environmental Science,Antonios Mamalakis,New Cabell Hall 395,"Tu,Th",1900-01-01 09:30:00,1900-01-01 10:45:00
